序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
123,PID_DD,DINT,,0,不保持,私有,,,
124,UID_DO_h,DINT,,0,不保持,私有,,,
125,UID_DO_l,DINT,,0,不保持,私有,,,
126,UID_DI_h,DINT,,0,不保持,私有,,,
127,UID_DI_l,DINT,,0,不保持,私有,,,
128,UID_AO_h,DINT,,0,不保持,私有,,,
129,UID_AO_l,DINT,,0,不保持,私有,,,
130,UID_AI_h,DINT,,0,不保持,私有,,,
131,UID_AI_l,DINT,,0,不保持,私有,,,
132,UID_DD_h,DINT,,0,不保持,私有,,,
133,UID_DD_l,DINT,,0,不保持,私有,,,
134,Result_Eeprom_DO,INT,,0,不保持,私有,,,
135,Result_Eeprom_DI,INT,,0,不保持,私有,,,
136,Result_Eeprom_AO,INT,,0,不保持,私有,,,
137,Result_Eeprom_AI,INT,,0,不保持,私有,,,
138,Result_Ecat_DO,INT,,0,不保持,私有,,,
139,Result_Ecat_DI,INT,,0,不保持,私有,,,
140,Result_Ecat_AO,INT,,0,不保持,私有,,,
141,Result_Ecat_AI,INT,,0,不保持,私有,,,
142,Result_LEDs_DO,INT,,0,不保持,私有,,,
143,Result_LEDs_DI,INT,,0,不保持,私有,,,
